"id","nome_interno","nome_paciente","modalidade","regiao","contraste","lado","detalhe","convenio","exibir","revisar"
"253","RADIOGRAFIA PERIAPICAL OU INTERPROXIMAL (4)","Odontologia: Radiografia Periapical Ou Interproximal (4)","ODONTOLOGIA","Odontológica","","","","","SIM",""
"254","RADIOGRAFIA PERIAPICAL OU INTERPROXIMAL (5)","Odontologia: Radiografia Periapical Ou Interproximal (5)","ODONTOLOGIA","Odontológica","","","","","SIM",""
"255","RADIOGRAFIA PERIAPICAL OU INTERPROXIMAL (6)","Odontologia: Radiografia Periapical Ou Interproximal (6)","ODONTOLOGIA","Odontológica","","","","","SIM",""
"256","RADIOGRAFIA PERIAPICAL OU INTERPROXIMAL (7)","Odontologia: Radiografia Periapical Ou Interproximal (7)","ODONTOLOGIA","Odontológica","","","","","SIM",""
"257","RADIOGRAFIA PERIAPICAL OU INTERPROXIMAL (8)","Odontologia: Radiografia Periapical Ou Interproximal (8)","ODONTOLOGIA","Odontológica","","","","","SIM",""
"258","RADIOGRAFIA PERIAPICAL OU INTERPROXIMAL (9)","Odontologia: Radiografia Periapical Ou Interproximal (9)","ODONTOLOGIA","Odontológica","","","","","SIM",""
"259","RADIOGRAFIA POSTERO-ANTERIOR","Odontologia: Radiografia Postero-Anterior","ODONTOLOGIA","Odontológica","","","","","SIM",""
"260","RX BITE-WING- INTERPROXIMAL","Odontologia: Rx Bite-Wing- Interproximal","ODONTOLOGIA","Odontológica","","","","","SIM",""
"261","RX OCLUSAL","Odontologia: Rx Oclusal","ODONTOLOGIA","Odontológica","","","","","SIM",""
"262","RX PANORAMICA","Odontologia: Rx Panoramica","ODONTOLOGIA","Odontológica","","","","","SIM",""
"263","RX PANORAMICA DOS MEMBROS INFERIORES (PANORAMICO/CHAPAO)","Odontologia: Rx Panoramica Dos Membros Inferiores (Panoramico/Chapao)","ODONTOLOGIA","Perna (Membro Inferior)","","","","","SIM",""
"264","RX PANORAMICA MANDIBULA","Odontologia: Rx Panoramica Mandibula","ODONTOLOGIA","Odontológica","","","","","SIM",""
"265","RX PERIAPICAL","Odontologia: Rx Periapical","ODONTOLOGIA","Pé","","","","","SIM",""
"266","RX POSTERO ANTERIOR","Odontologia: Rx Postero Anterior","ODONTOLOGIA","Odontológica","","","","","SIM",""
"267","RX TELERRADIOGRAFIA COM TRAÇADO COMPUTADORIZADO","Odontologia: Rx Telerradiografia Com Traçado Computadorizado","ODONTOLOGIA","Odontológica","","","","","SIM",""
"268","TELERRADIOGRAFIA","Odontologia: Telerradiografia","ODONTOLOGIA","Odontológica","","","","","SIM",""
"269","MARCAÇÃO PRÉ-CIRÚRGICA POR NÓDULO - POR MAMA - GUIADA POR US","Marcação Pré-Cirúrgica Por Nódulo - Por Mama - Guiada Por Us","PROCEDIMENTO","Mamas","","","guiada por ultrassom","","SIM",""
"270","NEFROSTOMIA ORIENTADA POR TC","Nefrostomia Orientada Por Tc","PROCEDIMENTO","","","","guiada por tomografia","","SIM",""
"271","PARACENTESE","Paracentese","PROCEDIMENTO","","","","","","SIM",""
"272","RM - ANGIO ARTERIAL ABD SUP. (UNIMED) S/ CONTRASTE","Angio-RM Abdome Superior","RM","Abdome Superior","SEM","","arterial","UNIMED","SIM",""
"273","RM - ANGIO ARTERIAL ABDOME SUPERIOR C/C | RM- ANGIO ARTERIAL ABDOME SUPERIOR C/C","Angio-RM Abdome Superior","RM","Abdome Superior","COM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL ABDOME SUPERIOR C/C; RM- ANGIO ARTERIAL ABDOME SUPERIOR C/C"
"274","RM - ANGIO ARTERIAL ABDOME SUPERIOR S/ CONTRASTE | RM- ANGIO ARTERIAL ABDOME SUPERIOR S/ CONTRASTE","Angio-RM Abdome Superior","RM","Abdome Superior","SEM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL ABDOME SUPERIOR S/ CONTRASTE; RM- ANGIO ARTERIAL ABDOME SUPERIOR S/ CONTRASTE"
"275","RM - ANGIO ARTERIAL DE ABD SUPERIOR C/C (UNIMED)","Angio-RM Abdome Superior","RM","Abdome Superior","COM","","arterial","UNIMED","SIM",""
"276","RM - ANGIO VENOSA ABD SUP. (UNIMED) S/ CONTRASTE","Angio-RM Abdome Superior","RM","Abdome Superior","SEM","","venoso","UNIMED","SIM",""
"277","RM - ANGIO VENOSA ABDOME SUPERIOR C/C | RM- ANGIO VENOSA ABDOME SUPERIOR C/C","Angio-RM Abdome Superior","RM","Abdome Superior","COM","","venoso","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO VENOSA ABDOME SUPERIOR C/C; RM- ANGIO VENOSA ABDOME SUPERIOR C/C"
"278","RM - ANGIO VENOSA DE ABD SUPERIOR C/C (UNIMED)","Angio-RM Abdome Superior","RM","Abdome Superior","COM","","venoso","UNIMED","SIM",""
"279","RM- ANGIO VENOSA ABDOME SUPERIOR S/ CONTRASTE | RM - ANGIO VENOSA ABDOME SUPERIOR S/ CONTRASTE","Angio-RM Abdome Superior","RM","Abdome Superior","SEM","","venoso","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM- ANGIO VENOSA ABDOME SUPERIOR S/ CONTRASTE; RM - ANGIO VENOSA ABDOME SUPERIOR S/ CONTRASTE"
"280","ANGIO RM ABDOME TOTAL","Angio-RM Abdome Total","RM","Abdome Total","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"281","RM - ANGIO AORTA ABDOMINAL C/C","Angio-RM Aorta","RM","Aorta","COM","","","","SIM",""
"282","RM - ANGIO AORTA ABDOMINAL S/ CONTRASTE","Angio-RM Aorta","RM","Aorta","SEM","","","","SIM",""
"283","RM - ANGIO AORTA TORACICA C/C","Angio-RM Aorta Torácica","RM","Aorta Torácica","COM","","","","SIM",""
"284","RM - ANGIO AORTA TORACICA S/ CONTRASTE","Angio-RM Aorta Torácica","RM","Aorta Torácica","SEM","","","","SIM",""
"285","RM - ANGIO ARTERIAL DE PELVE (UNIMED) S/ CONTRASTE","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","SEM","","arterial","UNIMED","SIM",""
"286","RM - ANGIO ARTERIAL DE PELVE C/C","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","COM","","arterial","","SIM",""
"287","RM - ANGIO ARTERIAL DE PELVE C/C (UNIMED)","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","COM","","arterial","UNIMED","SIM",""
"288","RM - ANGIO ARTERIAL DE PELVE S/ CONTRASTE | RM- ANGIO ARTERIAL DE PELVE S/ CONTRASTE","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","SEM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL DE PELVE S/ CONTRASTE; RM- ANGIO ARTERIAL DE PELVE S/ CONTRASTE"
"289","RM - ANGIO VENOSA DE PELVE (UNIMED) S/ CONTRASTE","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","SEM","","venoso","UNIMED","SIM",""
"290","RM - ANGIO VENOSA DE PELVE C/C","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","COM","","venoso","","SIM",""
"291","RM - ANGIO VENOSA DE PELVE C/C (UNIMED)","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","COM","","venoso","UNIMED","SIM",""
"292","RM - ANGIO VENOSA DE PELVE S/ CONTRASTE","Angio-RM Bacia / Pelve","RM","Bacia / Pelve","SEM","","venoso","","SIM",""
"293","ANGIO RM DE MEMBRO SUPERIOR S/ CONTRASTE","Angio-RM Braço (Membro Superior)","RM","Braço (Membro Superior)","SEM","","","","SIM",""
"294","ANGIO-RM VASOS CEREBRAIS | ANGIORM (CRANIO/PESCOÇO)","Angio-RM Crânio","RM","Crânio","NAO_INFORMADO","","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: ANGIO-RM VASOS CEREBRAIS; ANGIORM (CRANIO/PESCOÇO)"
"295","RM - ANGIO (CRANIO,PESC.,TORAX, ABD SUP.) C/C","Angio-RM Crânio","RM","Crânio","COM","","","","SIM",""
"296","RM - ANGIO (CRANIO,PESC.,TORAX, ABD SUP.) C/C E COM SEDAÇAO","Angio-RM Crânio","RM","Crânio","COM","","com sedação","","SIM",""
"297","RM - ANGIO (CRANIO,PESC.,TORAX, ABD SUP.) COM SEDAÇAO","Angio-RM Crânio","RM","Crânio","NAO_INFORMADO","","com sedação","","SIM","contraste não informado no nome"
"298","RM - ANGIO (CRANIO,PESC.,TORAX, ABD SUP.) S/ CONTRASTE","Angio-RM Crânio","RM","Crânio","SEM","","","","SIM",""
"299","RM - ANGIO ARTERIAL DE CRANIO (UNIMED) S/ CONTRASTE","Angio-RM Crânio","RM","Crânio","SEM","","arterial","UNIMED","SIM",""
"300","RM - ANGIO ARTERIAL DE CRANIO C/C (UNIMED)","Angio-RM Crânio","RM","Crânio","COM","","arterial","UNIMED","SIM",""
"301","RM - ANGIO ARTERIAL DE CRANIO C/C | RM ANGIO-RESSONANCIA CRANIO ARTERIAL COM CONTRASTE (AD) | RM ANGIO-RESSONANCIA CRANIO ARTERIAL COM CONTRASTE (PD) | RM- ANGIO ARTERIAL CRANIO C/C","Angio-RM Crânio","RM","Crânio","COM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL DE CRANIO C/C; RM ANGIO-RESSONANCIA CRANIO ARTERIAL COM CONTRASTE (AD); RM ANGIO-RESSONANCIA CRANIO ARTERIAL COM CONTRASTE (PD); RM- ANGIO ARTERIAL CRANIO C/C"
"302","RM - ANGIO ARTERIAL DE CRANIO S/ CONTRASTE | RM- ANGIO ARTERIAL DE CRANIO S/ CONTRASTE | RM- ANGIO ARTERIAL CRANIO S/ CONTRASTE","Angio-RM Crânio","RM","Crânio","SEM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL DE CRANIO S/ CONTRASTE; RM- ANGIO ARTERIAL DE CRANIO S/ CONTRASTE; RM- ANGIO ARTERIAL CRANIO S/ CONTRASTE"
"303","RM - ANGIO VENOSA DE CRANIO (UNIMED) S/ CONTRASTE","Angio-RM Crânio","RM","Crânio","SEM","","venoso","UNIMED","SIM",""
"304","RM - ANGIO VENOSA DE CRANIO C/C  (UNIMED)","Angio-RM Crânio","RM","Crânio","COM","","venoso","UNIMED","SIM",""
"305","RM - ANGIO VENOSA DE CRANIO C/C | RM ANGIO-RESSONANCIA CRANIO VENOSA COM CONTRASTE (AD) | RM ANGIO-RESSONANCIA CRANIO VENOSA COM CONTRASTE (PD) | RM- ANGIO VENOSA CRANIO C/C","Angio-RM Crânio","RM","Crânio","COM","","venoso","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO VENOSA DE CRANIO C/C; RM ANGIO-RESSONANCIA CRANIO VENOSA COM CONTRASTE (AD); RM ANGIO-RESSONANCIA CRANIO VENOSA COM CONTRASTE (PD); RM- ANGIO VENOSA CRANIO C/C"
"306","RM - ANGIO VENOSA DE CRANIO S/ CONTRASTE | RM- ANGIO VENOSA CRANIO S/ CONTRASTE","Angio-RM Crânio","RM","Crânio","SEM","","venoso","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO VENOSA DE CRANIO S/ CONTRASTE; RM- ANGIO VENOSA CRANIO S/ CONTRASTE"
"307","RM ANGIO-RESSONANCIA CRANIO ARTERIAL","Angio-RM Crânio","RM","Crânio","NAO_INFORMADO","","arterial","","SIM","contraste não informado no nome"
"308","RM ANGIO-RESSONANCIA CRANIO VENOSA","Angio-RM Crânio","RM","Crânio","NAO_INFORMADO","","venoso","","SIM","contraste não informado no nome"
"309","RM- ANGIO ARTERIAL DE MEMBRO INFERIOR C/C","Angio-RM Perna (Membro Inferior)","RM","Perna (Membro Inferior)","COM","","arterial","","SIM",""
"310","RM- ANGIO ARTERIAL DE MEMBRO INFERIOR S/ CONTRASTE","Angio-RM Perna (Membro Inferior)","RM","Perna (Membro Inferior)","SEM","","arterial","","SIM",""
"311","RM - ANGIO ARTERIAL DE PESCOÇO (UNIMED) S/ CONTRASTE","Angio-RM Pescoço","RM","Pescoço","SEM","","arterial","UNIMED","SIM",""
"312","RM - ANGIO ARTERIAL DE PESCOÇO C/C (UNIMED)","Angio-RM Pescoço","RM","Pescoço","COM","","arterial","UNIMED","SIM",""
"313","RM - ANGIO ARTERIAL DE PESCOÇO C/C | RM ANGIO-RESSONANCIA PESCOÇO ARTERIAL COM CONTRASTE (AD) | RM ANGIO-RESSONANCIA PESCOÇO ARTERIAL COM CONTRASTE (PD)","Angio-RM Pescoço","RM","Pescoço","COM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL DE PESCOÇO C/C; RM ANGIO-RESSONANCIA PESCOÇO ARTERIAL COM CONTRASTE (AD); RM ANGIO-RESSONANCIA PESCOÇO ARTERIAL COM CONTRASTE (PD)"
"314","RM - ANGIO ARTERIAL DE PESCOÇO S/ CONTRASTE","Angio-RM Pescoço","RM","Pescoço","SEM","","arterial","","SIM",""
"315","RM - ANGIO VENOSA DE PESCOÇO (UNIMED) S/ CONTRASTE","Angio-RM Pescoço","RM","Pescoço","SEM","","venoso","UNIMED","SIM",""
"316","RM - ANGIO VENOSA DE PESCOÇO C/C (UNIMED)","Angio-RM Pescoço","RM","Pescoço","COM","","venoso","UNIMED","SIM",""
"317","RM - ANGIO VENOSA DE PESCOÇO S/ CONTRASTE","Angio-RM Pescoço","RM","Pescoço","SEM","","venoso","","SIM",""
"318","RM ANGIO-RESSONANCIA PESCOÇO ARTERIAL","Angio-RM Pescoço","RM","Pescoço","NAO_INFORMADO","","arterial","","SIM","contraste não informado no nome"
"319","RM ANGIO-RESSONANCIA PESCOÇO VENOSA","Angio-RM Pescoço","RM","Pescoço","NAO_INFORMADO","","venoso","","SIM","contraste não informado no nome"
"320","RM ANGIO-RESSONANCIA PESCOÇO VENOSA COM CONTRASTE (AD) | RM ANGIO-RESSONANCIA PESCOÇO VENOSA COM CONTRASTE (PD) | RM - ANGIO VENOSA DE PESCOÇO C/C","Angio-RM Pescoço","RM","Pescoço","COM","","venoso","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ANGIO-RESSONANCIA PESCOÇO VENOSA COM CONTRASTE (AD); RM ANGIO-RESSONANCIA PESCOÇO VENOSA COM CONTRASTE (PD); RM - ANGIO VENOSA DE PESCOÇO C/C"
"321","RM - ANGIO ARTERIAL PULMONAR (UNIMED) S/ CONTRASTE","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","SEM","","arterial","UNIMED","SIM",""
"322","RM - ANGIO ARTERIAL PULMONAR C/C (UNIMED)","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","COM","","arterial","UNIMED","SIM",""
"323","RM - ANGIO ARTERIAL PULMONAR C/C | RM- ANGIO ARTERIAL PULMONAR C/C","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","COM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL PULMONAR C/C; RM- ANGIO ARTERIAL PULMONAR C/C"
"324","RM - ANGIO ARTERIAL PULMONAR S/ CONTRASTE | RM- ANGIO ARTERIAL PULMONAR S/ CONTRASTE","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","SEM","","arterial","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM - ANGIO ARTERIAL PULMONAR S/ CONTRASTE; RM- ANGIO ARTERIAL PULMONAR S/ CONTRASTE"
"325","RM - ANGIO VENOSA PULMONAR (UNIMED) S/ CONTRASTE","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","SEM","","venoso","UNIMED","SIM",""
"326","RM - ANGIO VENOSA PULMONAR C/C","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","COM","","venoso","","SIM",""
"327","RM - ANGIO VENOSA PULMONAR C/C  (UNIMED)","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","COM","","venoso","UNIMED","SIM",""
"328","RM - ANGIO VENOSA PULMONAR S/ CONTRASTE","Angio-RM Pulmão (Vasos)","RM","Pulmão (Vasos)","SEM","","venoso","","SIM",""
"329","RM ANGIOGRAFIA (QQ SEGMENTO) C/C","Angio-RM Qualquer Segmento","RM","Qualquer Segmento","COM","","","","SIM",""
"330","RM ANGIOGRAFIA (QQ SEGMENTO) C/C E COM SEDAÇAO","Angio-RM Qualquer Segmento","RM","Qualquer Segmento","COM","","com sedação","","SIM",""
"331","RM ANGIOGRAFIA (QQ SEGMENTO) COM SEDAÇAO","Angio-RM Qualquer Segmento","RM","Qualquer Segmento","NAO_INFORMADO","","com sedação","","SIM","contraste não informado no nome"
"332","RM ANGIOGRAFIA (QQ SEGMENTO) S/ CONTRASTE","Angio-RM Qualquer Segmento","RM","Qualquer Segmento","SEM","","","","SIM",""
"333","COLANGIO RESSONANCIA C/C","Angio-RM Vias Biliares","RM","Vias Biliares","COM","","","","SIM",""
"334","COLANGIO RESSONANCIA S/ CONTRASTE","Angio-RM Vias Biliares","RM","Vias Biliares","SEM","","","","SIM",""
"335","RM COLANGIO-RM (HIDRO-RM) (VIAS BILIARES)","Angio-RM Vias Biliares","RM","Vias Biliares","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"336","ARTRORESSONÂNCIA","Artro-RM Articulação","RM","Articulação","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"337","RM ARTICULACAO TEMP.MANDIBULAR(BILAT) C/C E COM SEDAÇAO","RM ATM (Mandíbula)","RM","ATM (Mandíbula)","COM","BILATERAL","com sedação","","SIM",""
"338","RM ARTICULACAO TEMP.MANDIBULAR(BILAT) C/C | RM ATM (BILATERAL) COM CONTRASTE (AD) - (ARTICULACAO TEMPOROMANDIBULAR) | RM ATM (BILATERAL) COM CONTRASTE (PD) - (ARTICULACAO TEMPOROMANDIBULAR)","RM ATM (Mandíbula)","RM","ATM (Mandíbula)","COM","BILATERAL","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ARTICULACAO TEMP.MANDIBULAR(BILAT) C/C; RM ATM (BILATERAL) COM CONTRASTE (AD) - (ARTICULACAO TEMPOROMANDIBULAR); RM ATM (BILATERAL) COM CONTRASTE (PD) - (ARTICULACAO TEMPOROMANDIBULAR)"
"339","RM ARTICULACAO TEMP.MANDIBULAR(BILAT) COM SEDAÇAO","RM ATM (Mandíbula)","RM","ATM (Mandíbula)","NAO_INFORMADO","BILATERAL","com sedação","","SIM","contraste não informado no nome"
"340","RM ARTICULACAO TEMP.MANDIBULAR(BILAT) S/ CONTRASTE","RM ATM (Mandíbula)","RM","ATM (Mandíbula)","SEM","BILATERAL","","","SIM",""
"341","RM ATM (BILATERAL) - (ARTICULACAO TEMPOROMANDIBULAR)","RM ATM (Mandíbula)","RM","ATM (Mandíbula)","NAO_INFORMADO","BILATERAL","","","SIM","contraste não informado no nome"
"342","RM ABD SUPERIOR CC | RM ABDOMEN SUPERIOR COM CONTRASTE (AD) (FIGADO,PANCREAS,BAÇO,RINS,SUPRARENAIS,RETROPERITONICO) | RM ABDOMEN SUPERIOR COM CONTRASTE (PD) (FIGADO,PANCREAS,BAÇO,RINS,SUPRARENAIS,RETROPERITONICO) | RM ABDOMEN SUPERIOR COM CONTRASTE PRIMOVIST","RM Abdome Superior","RM","Abdome Superior","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ABD SUPERIOR CC; RM ABDOMEN SUPERIOR COM CONTRASTE (AD) (FIGADO,PANCREAS,BAÇO,RINS,SUPRARENAIS,RETROPERITONICO); RM ABDOMEN SUPERIOR COM CONTRASTE (PD) (FIGADO,PANCREAS,BAÇO,RINS,SUPRARENAIS,RETROPERITONICO); RM ABDOMEN SUPERIOR COM CONTRASTE PRIMOVIST"
"343","RM ABD SUPERIOR S CONTRASTE","RM Abdome Superior","RM","Abdome Superior","SEM","","","","SIM",""
"344","RM ABDOMEN SUPERIOR (FIGADO,PANCREAS,BAÇO,RINS,SUPRARENAIS,RETROPERITONICO)","RM Abdome Superior","RM","Abdome Superior","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"345","RM ABDOME SUPERIOR + PELVE (ABDOMEN TOTAL)","RM Abdome Total","RM","Abdome Total","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"346","RM ABDOME SUPERIOR + PELVE (ABDOMEN TOTAL) COM CONTRASTE | RM ABDOME TOTAL CC","RM Abdome Total","RM","Abdome Total","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ABDOME SUPERIOR + PELVE (ABDOMEN TOTAL) COM CONTRASTE; RM ABDOME TOTAL CC"
"347","RM ABDOME TOTAL S CONTRASTE","RM Abdome Total","RM","Abdome Total","SEM","","","","SIM",""
"348","RM ANTEBRAÇO DIREITO (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC)","RM Antebraço","RM","Antebraço","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
"349","RM ANTEBRAÇO DIREITO COM CONTRASTE (AD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC) | RM ANTEBRAÇO DIREITO COM CONTRASTE (PD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC)","RM Antebraço","RM","Antebraço","COM","DIREITO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ANTEBRAÇO DIREITO COM CONTRASTE (AD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC); RM ANTEBRAÇO DIREITO COM CONTRASTE (PD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC)"
"350","RM ANTEBRAÇO ESQUERDO - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC)","RM Antebraço","RM","Antebraço","NAO_INFORMADO","ESQUERDO","","","SIM","contraste não informado no nome"
"351","RM ANTEBRAÇO ESQUERDO COM CONTRASTE (AD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC) | RM ANTEBRAÇO ESQUERDO COM CONTRASTE (PD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC)","RM Antebraço","RM","Antebraço","COM","ESQUERDO","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ANTEBRAÇO ESQUERDO COM CONTRASTE (AD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC); RM ANTEBRAÇO ESQUERDO COM CONTRASTE (PD) - (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC)"
"352","RM ARTICULAR CC","RM Articulação","RM","Articulação","COM","","","","SIM",""
"353","RM ARTICULAR S CONTRASTE | RM ARTICULAR S CONTRASTE - TORN","RM Articulação","RM","Articulação","SEM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM ARTICULAR S CONTRASTE; RM ARTICULAR S CONTRASTE - TORN"
"354","RM BACIA (ARTICULAÇOES SACROILIACAS / GLUTEOS)","RM Bacia / Pelve","RM","Bacia / Pelve","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"355","RM BACIA CC | RM BACIA OU PELVE CC | RM BACIA COM CONTRASTE (AD) (ARTICULAÇOES SACROILIACAS/GLUTEOS) | RM BACIA COM CONTRASTE (PD) (ARTICULAÇOES SACROILIACAS / GLUTEOS) | RM PELVE CC","RM Bacia / Pelve","RM","Bacia / Pelve","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM BACIA CC; RM BACIA OU PELVE CC; RM BACIA COM CONTRASTE (AD) (ARTICULAÇOES SACROILIACAS/GLUTEOS); RM BACIA COM CONTRASTE (PD) (ARTICULAÇOES SACROILIACAS / GLUTEOS); RM PELVE CC"
"356","RM PELVE S CONTRASTE | RM BACIA S CONTRASTE | RM BACIA OU PELVE S CONTRASTE","RM Bacia / Pelve","RM","Bacia / Pelve","SEM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM PELVE S CONTRASTE; RM BACIA S CONTRASTE; RM BACIA OU PELVE S CONTRASTE"
"357","RM REGIAO GLUTEA BILATERAL (ARTICULACOES SACROILIACAS) | RM REGIAO SACROILIACA BILATERAL (BACIA)","RM Bacia / Pelve","RM","Bacia / Pelve","NAO_INFORMADO","BILATERAL","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM REGIAO GLUTEA BILATERAL (ARTICULACOES SACROILIACAS); RM REGIAO SACROILIACA BILATERAL (BACIA)"
"358","RM REGIAO GLUTEA BILATERAL COM CONTRASTE (ARTICULACOES SACROILIACAS) | RM REGIAO SACROILIACA BILATERAL COM CONTRASTE (AD) - (BACIA) | RM REGIAO SACROILIACA BILATERAL COM CONTRASTE (PD) - (BACIA)","RM Bacia / Pelve","RM","Bacia / Pelve","COM","BILATERAL","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM REGIAO GLUTEA BILATERAL COM CONTRASTE (ARTICULACOES SACROILIACAS); RM REGIAO SACROILIACA BILATERAL COM CONTRASTE (AD) - (BACIA); RM REGIAO SACROILIACA BILATERAL COM CONTRASTE (PD) - (BACIA)"
"359","RM BASE DO CRANIO","RM Base do Crânio","RM","Base do Crânio","NAO_INFORMADO","","","","SIM","contraste não informado no nome"
"360","RM BASE DO CRANIO C/C | RM BASE DO CRANIO COM CONTRASTE (AD) | RM BASE DO CRANIO COM CONTRASTE (PD)","RM Base do Crânio","RM","Base do Crânio","COM","","","","SIM","múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM BASE DO CRANIO C/C; RM BASE DO CRANIO COM CONTRASTE (AD); RM BASE DO CRANIO COM CONTRASTE (PD)"
"361","RM BASE DO CRANIO S/ CONTRASTE","RM Base do Crânio","RM","Base do Crânio","SEM","","","","SIM",""
"362","RM MULTIPARAMETRICA DA BEXIGA | RM URETROCISTO RESSONANCIA","RM Bexiga","RM","Bexiga","NAO_INFORMADO","","","","SIM","contraste não informado no nome; múltiplos códigos internos para a mesma opção do paciente, escolher qual usar no agendamento: RM MULTIPARAMETRICA DA BEXIGA; RM URETROCISTO RESSONANCIA"
"363","RM BOLSA ESCROTAL C/C","RM Bolsa Escrotal (Testículos)","RM","Bolsa Escrotal (Testículos)","COM","","","","SIM",""
"364","RM BOLSA ESCROTAL S/ CONTRASTE","RM Bolsa Escrotal (Testículos)","RM","Bolsa Escrotal (Testículos)","SEM","","","","SIM",""
"365","RM BRAÇO DIREITO (SEG. APENDICULAR) (MS UNILAT. Ñ INCLUI MAO E ARTIC)","RM Braço","RM","Braço","NAO_INFORMADO","DIREITO","","","SIM","contraste não informado no nome"
